V,H,S,M
0.4389,0.818182,1,2
0.307099,1,1,2
0.238788,0,0,3
0.208925,0.181818,0,3
0.212954,0.272727,0,3
0.175033,0.454545,0,3
0.148936,0.545455,0,3
0.151271,0.727273,0,3
0.171531,0.818182,0,3
0.131538,1,0,3
0.517982,0.181818,0.6,3
0.284504,0.363636,0.6,3
0.232951,0.454545,0.6,3
0.197891,0.636364,0.6,3
0.19065,0.727273,0.6,3
0.175297,0.909091,0.6,3
0.182828,1,0.6,3
0.307099,0.090909,0.2,3
0.239315,0.181818,0.2,3
0.197891,0.363636,0.2,3
0.194125,0.454545,0.2,3
0.197891,0.636364,0.2,3
0.14517,0.727273,0.2,3
0.069855,0.909091,0.2,3
0.469027,0,0.8,3
0.348522,0.181818,0.8,3
0.356054,0.272727,0.8,3
0.261909,0.454545,0.8,3
0.235549,0.545455,0.8,3
0.239315,0.727273,0.8,3
0.209189,0.818182,0.8,3
0.160234,1,0.8,3
0.582,0.181818,0.4,3
0.389945,0.363636,0.4,3
0.356054,0.454545,0.4,3
0.246846,0.636364,0.4,3
0.205423,0.727273,0.4,3
0.193222,0.909091,0.4,3
0.193485,1,0.4,3
0.453964,0.181818,1,3
0.48409,0.272727,1,3
0.363585,0.454545,1,3
0.284504,0.545455,1,3
0.19036,0.727273,1,3
0.171531,0.818182,1,3
0.135568,1,1,3
0.393711,0.090909,0,4
0.261909,0.272727,0,4
0.239315,0.363636,0,4
0.175297,0.545455,0,4
0.194125,0.636364,0,4
0.212954,0.818182,0,4
0.205423,0.909091,0,4
0.378648,0,0.6,4
0.303333,0.090909,0.6,4
0.258144,0.363636,0.6,4
0.224252,0.454545,0.6,4
0.186594,0.636364,0.6,4
0.165694,0.727273,0.6,4
0.163999,0.909091,0.6,4
0.139333,1,0.6,4
0.416306,0.181818,0.2,4
0.382414,0.272727,0.2,4
0.299567,0.454545,0.2,4
0.250612,0.545455,0.2,4
0.205423,0.727273,0.2,4
0.14517,0.818182,0.2,4
0.163999,1,0.2,4
0.104103,0,0.8,4
0.094898,0.181818,0.8,4
0.073207,0.272727,0.8,4
0.037131,0.454545,0.8,4
0.04726,0.545455,0.8,4
0.012728,0.727273,0.8,4
0,0.818182,0.8,4
0.055432,0.090909,0.4,4
0.053098,0.181818,0.4,4
0.081152,0.454545,0.4,4
0.072453,0.545455,0.4,4
0.045189,0.727273,0.4,4
0.019149,0.818182,0.4,4
0.046357,1,0.4,4
0.491621,0,1,4
0.273207,0.181818,1,4
0.280738,0.272727,1,4
0.261909,0.454545,1,4
0.167765,0.545455,1,4
0.163999,0.727273,1,4
0.209189,0.818182,1,4
0.163999,1,1,4
0.480324,0,0,5
0.141405,0.181818,0,5
0.099981,0.272727,0,5
0.171531,0.454545,0,5
0.039729,0.545455,0,5
0.115044,0.727273,0,5
0.130107,0.818182,0,5
0.14517,1,0,5
0.450198,0,0.6,5
0.378648,0.181818,0.6,5
0.420072,0.272727,0.6,5
0.363585,0.454545,0.6,5
0.306722,0.545455,0.6,5
0.239315,0.727273,0.6,5
0.245942,0.818182,0.6,5
0.209189,1,0.6,5
0.280738,0.181818,0.2,5
0.186594,0.545455,0.2,5
0.167765,0.636364,0.2,5
0.122576,0.909091,0.2,5
0.167765,1,0.2,5
0.276031,0.090909,0.8,5
0.280588,0.181818,0.8,5
0.225155,0.363636,0.8,5
0.21672,0.454545,0.8,5
0.188288,0.636364,0.8,5
0.194389,0.727273,0.8,5
0.156468,0.909091,0.8,5
0.121672,1,0.8,5
0.34099,0.181818,0.4,5
0.307099,0.272727,0.4,5
0.231783,0.454545,0.4,5
0.190887,0.545455,0.4,5
0.179062,0.727273,0.4,5
0.179062,0.818182,0.4,5
0.122576,1,0.4,5
0.371117,0.090909,1,5
0.265675,0.272727,1,5
0.21672,0.363636,1,5
0.156468,0.545455,1,5
0.130107,0.636364,1,5
0.19036,0.818182,1,5
0.137639,0.909091,1,5
0.152702,0.090909,0,1
0.088684,0.363636,0,1
0.065449,0.636364,0,1
0.069855,0.909091,0,1
0.209565,0.090909,0.6,1
0.15997,0.363636,0.6,1
0.119714,0.636364,0.6,1
0.058558,0.909091,0.6,1
0.123216,0.090909,0.2,1
0.095952,0.363636,0.2,1
0.103747,0.636364,0.2,1
0.039729,0.909091,0.2,1
0.148673,0.090909,0.8,1
0.14517,0.363636,0.8,1
0.133873,0.636364,0.8,1
0.122576,0.909091,0.8,1
0.175297,0.090909,0.4,1
0.130107,0.363636,0.4,1
0.167765,0.636364,0.4,1
0.130107,0.909091,0.4,1
0.115044,0.090909,1,1
0.076483,0.363636,1,1
0.112973,0.636364,1,1
0.111279,1,1,1
1,0.181818,0,2
0.736396,0.454545,0,2
0.48409,0.727273,0,2
0.300998,1,0,2
1,0.181818,0.6,2
0.657315,0.454545,0.6,2
0.420072,0.727273,0.6,2
0.31463,1,0.6,2
0.393711,0.181818,0.2,2
0.352288,0.454545,0.2,2
0.21672,0.727273,0.2,2
1,0.090909,0.8,2
0.642252,0.363636,0.8,2
0.53681,0.636364,0.8,2
0.356054,0.909091,0.8,2
1,0.090909,0.4,2
1,0.363636,0.4,2
0.815477,0.636364,0.4,2
0.491621,0.909091,0.4,2
0.992468,0.090909,1,2
0.725099,0.363636,1,2
0.570702,0.636364,1,2
0.307099,0.909091,1,2
0.220486,0.090909,0,3
0.182828,0.363636,0,3
0.146865,0.636364,0,3
0.132065,0.909091,0,3
0.367351,0.272727,0.6,3
0.220591,0.545455,0.6,3
0.197364,0.818182,0.6,3
0.420072,0,0.2,3
0.246846,0.272727,0.2,3
0.194125,0.545455,0.2,3
0.103747,0.818182,0.2,3
0.352288,0.090909,0.8,3
0.292035,0.363636,0.8,3
0.09245,0.636364,0.8,3
0.130107,0.909091,0.8,3
0.4389,0.272727,0.4,3
0.273207,0.545455,0.4,3
0.228017,0.818182,0.4,3
0.691207,0.090909,1,3
0.405009,0.363636,1,3
0.258144,0.636364,1,3
0.141405,0.909091,1,3
0.34099,0.181818,0,4
0.228017,0.454545,0,4
0.137639,0.727273,0,4
0.201657,1,0,4
0.281378,0.181818,0.6,4
0.201657,0.545455,0.6,4
0.16946,0.818182,0.6,4
0.393711,0.090909,0.2,4
0.352288,0.363636,0.2,4
0.21672,0.636364,0.2,4
0.160234,0.909091,0.2,4
0.092299,0.090909,0.8,4
0.055169,0.363636,0.8,4
0.03649,0.636364,0.8,4
0.08232,0,0.4,4
0.032197,0.272727,0.4,4
0.069855,0.636364,0.4,4
0.015063,0.909091,0.4,4
0.329693,0.090909,1,4
0.269441,0.363636,1,4
0.186594,0.636364,1,4
0.171531,0.909091,1,4
0.307099,0.090909,0,5
0.122576,0.363636,0,5
0.197891,0.636364,0,5
0.152702,0.909091,0,5
0.427603,0.090909,0.6,5
0.384372,0.363636,0.6,5
0.254378,0.636364,0.6,5
0.213481,0.909091,0.6,5
0.2058,0.363636,0.2,5
0.152702,0.818182,0.2,5
0.30981,0,0.8,5
0.241122,0.272727,0.8,5
0.224892,0.545455,0.8,5
0.152325,0.818182,0.8,5
0.401243,0.090909,0.4,5
0.250612,0.363636,0.4,5
0.186594,0.636364,0.4,5
0.156468,0.909091,0.4,5
0.307099,0.181818,1,5
0.194125,0.454545,1,5
0.205423,0.727273,1,5
0.14517,1,1,5
