V_MinMaxNormalized,H_MinMaxNormalized,S_MinMaxNormalized,M_MinMaxNormalized
13.523,10.909,18.0,15.0
12.92,13.636,18.0,15.0
10.924,16.364,18.0,15.0
11.301,19.091,18.0,15.0
14.389,12.727,14.0,15.0
12.732,15.455,14.0,15.0
12.28,18.182,14.0,15.0
16.912,10.909,20.0,15.0
14.05,13.636,20.0,15.0
12.581,16.364,20.0,15.0
11.414,19.091,20.0,15.0
13.41,11.818,10.0,17.5
12.28,14.545,10.0,17.5
11.376,17.273,10.0,17.5
12.017,20.0,10.0,17.5
12.814,11.818,16.0,17.5
12.017,15.455,16.0,17.5
11.695,18.182,16.0,17.5
13.937,10.909,12.0,17.5
13.523,13.636,12.0,17.5
12.167,16.364,12.0,17.5
11.602,19.091,12.0,17.5
10.923,10.909,18.0,17.5
10.552,13.636,18.0,17.5
10.365,16.364,18.0,17.5
10.823,10.0,14.0,17.5
10.322,12.727,14.0,17.5
10.699,16.364,14.0,17.5
10.151,19.091,14.0,17.5
13.297,10.909,20.0,17.5
12.694,13.636,20.0,17.5
11.866,16.364,20.0,17.5
11.715,19.091,20.0,17.5
13.071,10.909,10.0,20.0
11.226,13.636,10.0,20.0
11.979,16.364,10.0,20.0
11.527,19.091,10.0,20.0
14.276,10.909,16.0,20.0
13.844,13.636,16.0,20.0
12.544,16.364,16.0,20.0
12.135,19.091,16.0,20.0
12.058,13.636,12.0,20.0
11.527,18.182,12.0,20.0
13.098,10.0,18.0,20.0
12.411,12.727,18.0,20.0
12.249,15.455,18.0,20.0
11.523,18.182,18.0,20.0
14.012,10.909,14.0,20.0
12.506,13.636,14.0,20.0
11.866,16.364,14.0,20.0
11.565,19.091,14.0,20.0
13.071,11.818,20.0,20.0
11.941,14.545,20.0,20.0
12.054,17.273,20.0,20.0
11.452,20.0,20.0,20.0
