V,H,S,M
2.784179,-0.771618,0.280179,2
1.966482,-0.474571,0.280179,2
1.148785,0.119522,0.280179,2
1.009931,0.416568,0.280179,2
0.377373,1.010661,0.280179,2
0.223091,1.307707,0.280179,2
1.472779,-1.662757,-0.881789,2
0.979075,-1.36571,-0.881789,2
0.516227,-0.771618,-0.881789,2
0.377373,-0.474571,-0.881789,2
0.037952,0.119522,-0.881789,2
-0.162615,0.416568,-0.881789,2
-0.347754,1.010661,-0.881789,2
2.907605,-1.662757,0.861162,2
2.460186,-1.068664,0.861162,2
2.69161,-0.771618,0.861162,2
1.673346,-0.177525,0.861162,2
1.54992,0.119522,0.861162,2
0.330009,0.713614,0.861162,2
0.192234,1.010661,0.861162,2
0.187451,1.604754,0.861162,2
2.907605,-1.662757,-0.300805,2
2.907605,-1.068664,-0.300805,2
2.907605,-0.771618,-0.300805,2
2.907605,-0.177525,-0.300805,2
2.907605,0.119522,-0.300805,2
2.16705,0.713614,-0.300805,2
1.009931,1.010661,-0.300805,2
0.608797,1.604754,-0.300805,2
2.907605,-1.662757,1.442146,2
2.352189,-1.068664,1.442146,2
2.907605,-0.771618,1.442146,2
1.935626,-0.177525,1.442146,2
1.45735,0.119522,1.442146,2
0.392801,0.713614,1.442146,2
0.608797,1.010661,1.442146,2
0.068808,1.604754,1.442146,2
-0.21106,-1.662757,-1.462773,3
-0.333406,-1.068664,-1.462773,3
-0.316898,-0.771618,-1.462773,3
-0.47226,-0.177525,-1.462773,3
-0.579178,0.119522,-1.462773,3
-0.569612,0.713614,-1.462773,3
-0.486609,1.010661,-1.462773,3
-0.650457,1.604754,-1.462773,3
0.93279,-1.068664,0.280179,3
-0.023761,-0.474571,0.280179,3
-0.234974,-0.177525,0.280179,3
-0.378611,0.416568,0.280179,3
-0.40828,0.713614,0.280179,3
-0.47118,1.307707,0.280179,3
-0.440324,1.604754,0.280179,3
0.068808,-1.36571,-0.881789,3
-0.2089,-1.068664,-0.881789,3
-0.378611,-0.474571,-0.881789,3
-0.394039,-0.177525,-0.881789,3
-0.378611,0.416568,-0.881789,3
-0.594606,0.713614,-0.881789,3
-0.903171,1.307707,-0.881789,3
0.732223,-1.662757,0.861162,3
0.238519,-1.068664,0.861162,3
0.269375,-0.771618,0.861162,3
-0.116331,-0.177525,0.861162,3
-0.224328,0.119522,0.861162,3
-0.2089,0.713614,0.861162,3
-0.332326,1.010661,0.861162,3
-0.532893,1.604754,0.861162,3
1.19507,-1.068664,-0.300805,3
0.40823,-0.474571,-0.300805,3
0.269375,-0.177525,-0.300805,3
-0.178044,0.416568,-0.300805,3
-0.347754,0.713614,-0.300805,3
-0.397742,1.307707,-0.300805,3
-0.396662,1.604754,-0.300805,3
0.67051,-1.068664,1.442146,3
0.793936,-0.771618,1.442146,3
0.300232,-0.177525,1.442146,3
-0.023761,0.119522,1.442146,3
-0.409467,0.713614,1.442146,3
-0.486609,1.010661,1.442146,3
-0.633949,1.604754,1.442146,3
0.423658,-1.36571,-1.462773,4
-0.116331,-0.771618,-1.462773,4
-0.2089,-0.474571,-1.462773,4
-0.47118,0.119522,-1.462773,4
-0.394039,0.416568,-1.462773,4
-0.316898,1.010661,-1.462773,4
-0.347754,1.307707,-1.462773,4
0.361945,-1.662757,0.280179,4
0.05338,-1.36571,0.280179,4
-0.131759,-0.474571,0.280179,4
-0.270613,-0.177525,0.280179,4
-0.424896,0.416568,0.280179,4
-0.510523,0.713614,0.280179,4
-0.517465,1.307707,0.280179,4
-0.61852,1.604754,0.280179,4
0.516227,-1.068664,-0.881789,4
0.377373,-0.771618,-0.881789,4
0.037952,-0.177525,-0.881789,4
-0.162615,0.119522,-0.881789,4
-0.347754,0.713614,-0.881789,4
-0.594606,1.010661,-0.881789,4
-0.517465,1.604754,-0.881789,4
-0.762858,-1.662757,0.861162,4
-0.800572,-1.068664,0.861162,4
-0.889439,-0.771618,0.861162,4
-1.037243,-0.177525,0.861162,4
-0.995741,0.119522,0.861162,4
-1.137218,0.713614,0.861162,4
-1.189365,1.010661,0.861162,4
-0.962261,-1.36571,-0.300805,4
-0.971827,-1.068664,-0.300805,4
-0.856886,-0.177525,-0.300805,4
-0.892526,0.119522,-0.300805,4
-1.004227,0.713614,-0.300805,4
-1.110912,1.010661,-0.300805,4
-0.999444,1.604754,-0.300805,4
0.824792,-1.662757,1.442146,4
-0.070046,-1.068664,1.442146,4
-0.039189,-0.771618,1.442146,4
-0.116331,-0.177525,1.442146,4
-0.502037,0.119522,1.442146,4
-0.517465,0.713614,1.442146,4
-0.332326,1.010661,1.442146,4
-0.517465,1.604754,1.442146,4
0.778508,-1.662757,-1.462773,5
-0.610035,-1.068664,-1.462773,5
-0.779745,-0.771618,-1.462773,5
-0.486609,-0.177525,-1.462773,5
-1.026597,0.119522,-1.462773,5
-0.718032,0.713614,-1.462773,5
-0.656319,1.010661,-1.462773,5
-0.594606,1.604754,-1.462773,5
0.655082,-1.662757,0.280179,5
0.361945,-1.068664,0.280179,5
0.531656,-0.771618,0.280179,5
0.300232,-0.177525,0.280179,5
0.067265,0.119522,0.280179,5
-0.2089,0.713614,0.280179,5
-0.181747,1.010661,0.280179,5
-0.332326,1.604754,0.280179,5
-0.039189,-1.068664,-0.881789,5
-0.424896,0.119522,-0.881789,5
-0.502037,0.416568,-0.881789,5
-0.687176,1.307707,-0.881789,5
-0.502037,1.604754,-0.881789,5
-0.058473,-1.36571,0.861162,5
-0.039805,-1.068664,0.861162,5
-0.26691,-0.474571,0.861162,5
-0.30147,-0.177525,0.861162,5
-0.417953,0.416568,0.861162,5
-0.392959,0.713614,0.861162,5
-0.548322,1.307707,0.861162,5
-0.690879,1.604754,0.861162,5
0.207662,-1.068664,-0.300805,5
0.068808,-0.771618,-0.300805,5
-0.239757,-0.177525,-0.300805,5
-0.407308,0.119522,-0.300805,5
-0.455752,0.713614,-0.300805,5
-0.455752,1.010661,-0.300805,5
-0.687176,1.604754,-0.300805,5
0.331088,-1.36571,1.442146,5
-0.100902,-0.771618,1.442146,5
-0.30147,-0.474571,1.442146,5
-0.548322,0.119522,1.442146,5
-0.656319,0.416568,1.442146,5
-0.409467,1.010661,1.442146,5
-0.625463,1.307707,1.442146,5
-0.56375,-1.36571,-1.462773,1
-0.82603,-0.474571,-1.462773,1
-0.921223,0.416568,-1.462773,1
-0.903171,1.307707,-1.462773,1
-0.330783,-1.36571,0.280179,1
-0.533973,-0.474571,0.280179,1
-0.698901,0.416568,0.280179,1
-0.949456,1.307707,0.280179,1
-0.684552,-1.36571,-0.881789,1
-0.796253,-0.474571,-0.881789,1
-0.764317,0.416568,-0.881789,1
-1.026597,1.307707,-0.881789,1
-0.580258,-1.36571,0.861162,1
-0.594606,-0.474571,0.861162,1
-0.640891,0.416568,0.861162,1
-0.687176,1.307707,0.861162,1
-0.47118,-1.36571,-0.300805,1
-0.656319,-0.474571,-0.300805,1
-0.502037,0.416568,-0.300805,1
-0.656319,1.307707,-0.300805,1
-0.718032,-1.36571,1.442146,1
-0.876018,-0.474571,1.442146,1
-0.726518,0.416568,1.442146,1
-0.73346,1.604754,1.442146,1
2.907605,-1.068664,-1.462773,2
1.827628,-0.177525,-1.462773,2
0.793936,0.713614,-1.462773,2
0.043814,1.604754,-1.462773,2
2.907605,-1.068664,0.280179,2
1.503635,-0.177525,0.280179,2
0.531656,0.713614,0.280179,2
0.099665,1.604754,0.280179,2
0.423658,-1.068664,-0.881789,2
0.253947,-0.177525,-0.881789,2
-0.30147,0.713614,-0.881789,2
2.907605,-1.36571,0.861162,2
1.441922,-0.474571,0.861162,2
1.009931,0.416568,0.861162,2
0.269375,1.307707,0.861162,2
2.907605,-1.36571,-0.300805,2
2.907605,-0.474571,-0.300805,2
2.151621,0.416568,-0.300805,2
0.824792,1.307707,-0.300805,2
2.876749,-1.36571,1.442146,2
1.781344,-0.474571,1.442146,2
1.148785,0.416568,1.442146,2
0.068808,1.307707,1.442146,2
-0.286041,-1.36571,-1.462773,3
-0.440324,-0.474571,-1.462773,3
-0.587664,0.416568,-1.462773,3
-0.648297,1.307707,-1.462773,3
0.31566,-0.771618,0.280179,3
-0.285609,0.119522,0.280179,3
-0.38077,1.010661,0.280179,3
0.531656,-1.662757,-0.881789,3
-0.178044,-0.771618,-0.881789,3
-0.394039,0.119522,-0.881789,3
-0.764317,1.010661,-0.881789,3
0.253947,-1.36571,0.861162,3
0.007095,-0.474571,0.861162,3
-0.810602,0.416568,0.861162,3
-0.656319,1.307707,0.861162,3
0.608797,-0.771618,-0.300805,3
-0.070046,0.119522,-0.300805,3
-0.255185,1.010661,-0.300805,3
1.642489,-1.36571,1.442146,3
0.469943,-0.474571,1.442146,3
-0.131759,0.416568,1.442146,3
-0.610035,1.307707,1.442146,3
0.207662,-1.068664,-1.462773,4
-0.255185,-0.177525,-1.462773,4
-0.625463,0.713614,-1.462773,4
-0.363183,1.604754,-1.462773,4
-0.036566,-1.068664,0.280179,4
-0.363183,0.119522,0.280179,4
-0.495094,1.010661,0.280179,4
0.423658,-1.36571,-0.881789,4
0.253947,-0.474571,-0.881789,4
-0.30147,0.416568,-0.881789,4
-0.532893,1.307707,-0.881789,4
-0.811218,-1.36571,0.861162,4
-0.963341,-0.474571,0.861162,4
-1.039866,0.416568,0.861162,4
-0.852104,-1.662757,-0.300805,4
-1.057454,-0.771618,-0.300805,4
-0.903171,0.416568,-0.300805,4
-1.127652,1.307707,-0.300805,4
0.161378,-1.36571,1.442146,4
-0.085474,-0.474571,1.442146,4
-0.424896,0.416568,1.442146,4
-0.486609,1.307707,1.442146,4
0.068808,-1.36571,-1.462773,5
-0.687176,-0.474571,-1.462773,5
-0.378611,0.416568,-1.462773,5
-0.56375,1.307707,-1.462773,5
0.562512,-1.36571,0.280179,5
0.385395,-0.474571,0.280179,5
-0.147187,0.416568,0.280179,5
-0.314738,1.307707,0.280179,5
-0.346211,-0.474571,-0.881789,5
-0.56375,1.010661,-0.881789,5
0.079917,-1.662757,0.861162,5
-0.201494,-0.771618,0.861162,5
-0.26799,0.119522,0.861162,5
-0.565293,1.010661,0.861162,5
0.454514,-1.36571,-0.300805,5
-0.162615,-0.474571,-0.300805,5
-0.424896,0.416568,-0.300805,5
-0.548322,1.307707,-0.300805,5
0.068808,-1.068664,1.442146,5
-0.394039,-0.177525,1.442146,5
-0.347754,0.713614,1.442146,5
-0.594606,1.604754,1.442146,5
