V_ZScoreNormalized,H_ZScoreNormalized,S_ZScoreNormalized,M_ZScoreNormalized
1.166,0.12,-1.465,-0.672
0.919,0.417,-1.465,-0.672
0.115,1.012,-1.465,-0.672
0.06,1.31,-1.465,-0.672
2.912,-1.665,0.281,-0.672
2.912,-1.368,0.281,-0.672
2.788,-0.773,0.281,-0.672
1.969,-0.475,0.281,-0.672
1.15,0.12,0.281,-0.672
1.011,0.417,0.281,-0.672
0.378,1.012,0.281,-0.672
0.223,1.31,0.281,-0.672
1.475,-1.665,-0.883,-0.672
0.981,-1.368,-0.883,-0.672
0.517,-0.773,-0.883,-0.672
0.378,-0.475,-0.883,-0.672
0.038,0.12,-0.883,-0.672
-0.163,0.417,-0.883,-0.672
-0.348,1.012,-0.883,-0.672
2.912,-1.665,0.862,-0.672
2.464,-1.07,0.862,-0.672
2.696,-0.773,0.862,-0.672
1.676,-0.178,0.862,-0.672
1.552,0.12,0.862,-0.672
0.33,0.715,0.862,-0.672
0.193,1.012,0.862,-0.672
0.188,1.607,0.862,-0.672
2.912,-1.665,-0.301,-0.672
2.912,-1.07,-0.301,-0.672
2.912,-0.773,-0.301,-0.672
2.912,-0.178,-0.301,-0.672
2.912,0.12,-0.301,-0.672
2.17,0.715,-0.301,-0.672
1.011,1.012,-0.301,-0.672
0.61,1.607,-0.301,-0.672
2.912,-1.665,1.444,-0.672
2.356,-1.07,1.444,-0.672
2.912,-0.773,1.444,-0.672
1.938,-0.178,1.444,-0.672
1.46,0.12,1.444,-0.672
0.393,0.715,1.444,-0.672
0.61,1.012,1.444,-0.672
0.069,1.607,1.444,-0.672
-0.211,-1.665,-1.465,0.033
-0.334,-1.07,-1.465,0.033
-0.317,-0.773,-1.465,0.033
-0.473,-0.178,-1.465,0.033
-0.58,0.12,-1.465,0.033
-0.57,0.715,-1.465,0.033
-0.487,1.012,-1.465,0.033
-0.651,1.607,-1.465,0.033
0.934,-1.07,0.281,0.033
-0.024,-0.475,0.281,0.033
-0.235,-0.178,0.281,0.033
-0.379,0.417,0.281,0.033
-0.409,0.715,0.281,0.033
-0.472,1.31,0.281,0.033
-0.441,1.607,0.281,0.033
0.069,-1.368,-0.883,0.033
-0.209,-1.07,-0.883,0.033
-0.379,-0.475,-0.883,0.033
-0.395,-0.178,-0.883,0.033
-0.379,0.417,-0.883,0.033
-0.595,0.715,-0.883,0.033
-0.905,1.31,-0.883,0.033
0.733,-1.665,0.862,0.033
0.239,-1.07,0.862,0.033
0.27,-0.773,0.862,0.033
-0.117,-0.178,0.862,0.033
-0.225,0.12,0.862,0.033
-0.209,0.715,0.862,0.033
-0.333,1.012,0.862,0.033
-0.534,1.607,0.862,0.033
1.197,-1.07,-0.301,0.033
0.409,-0.475,-0.301,0.033
0.27,-0.178,-0.301,0.033
-0.178,0.417,-0.301,0.033
-0.348,0.715,-0.301,0.033
-0.398,1.31,-0.301,0.033
-0.397,1.607,-0.301,0.033
0.672,-1.07,1.444,0.033
0.795,-0.773,1.444,0.033
0.301,-0.178,1.444,0.033
-0.024,0.12,1.444,0.033
-0.41,0.715,1.444,0.033
-0.487,1.012,1.444,0.033
-0.635,1.607,1.444,0.033
0.424,-1.368,-1.465,0.739
-0.117,-0.773,-1.465,0.739
-0.209,-0.475,-1.465,0.739
-0.472,0.12,-1.465,0.739
-0.395,0.417,-1.465,0.739
-0.317,1.012,-1.465,0.739
-0.348,1.31,-1.465,0.739
0.362,-1.665,0.281,0.739
0.053,-1.368,0.281,0.739
-0.132,-0.475,0.281,0.739
-0.271,-0.178,0.281,0.739
-0.426,0.417,0.281,0.739
-0.511,0.715,0.281,0.739
-0.518,1.31,0.281,0.739
-0.619,1.607,0.281,0.739
0.517,-1.07,-0.883,0.739
0.378,-0.773,-0.883,0.739
0.038,-0.178,-0.883,0.739
-0.163,0.12,-0.883,0.739
-0.348,0.715,-0.883,0.739
-0.595,1.012,-0.883,0.739
-0.518,1.607,-0.883,0.739
-0.764,-1.665,0.862,0.739
-0.802,-1.07,0.862,0.739
-0.891,-0.773,0.862,0.739
-1.039,-0.178,0.862,0.739
-0.997,0.12,0.862,0.739
-1.139,0.715,0.862,0.739
-1.191,1.012,0.862,0.739
-0.964,-1.368,-0.301,0.739
-0.973,-1.07,-0.301,0.739
-0.858,-0.178,-0.301,0.739
-0.894,0.12,-0.301,0.739
-1.006,0.715,-0.301,0.739
-1.113,1.012,-0.301,0.739
-1.001,1.607,-0.301,0.739
0.826,-1.665,1.444,0.739
-0.07,-1.07,1.444,0.739
-0.039,-0.773,1.444,0.739
-0.117,-0.178,1.444,0.739
-0.503,0.12,1.444,0.739
-0.518,0.715,1.444,0.739
-0.333,1.012,1.444,0.739
-0.518,1.607,1.444,0.739
0.78,-1.665,-1.465,1.444
-0.611,-1.07,-1.465,1.444
-0.781,-0.773,-1.465,1.444
-0.487,-0.178,-1.465,1.444
-1.028,0.12,-1.465,1.444
-0.719,0.715,-1.465,1.444
-0.657,1.012,-1.465,1.444
-0.595,1.607,-1.465,1.444
0.656,-1.665,0.281,1.444
0.362,-1.07,0.281,1.444
0.532,-0.773,0.281,1.444
0.301,-0.178,0.281,1.444
0.067,0.12,0.281,1.444
-0.209,0.715,0.281,1.444
-0.182,1.012,0.281,1.444
-0.333,1.607,0.281,1.444
-0.039,-1.07,-0.883,1.444
-0.426,0.12,-0.883,1.444
-0.503,0.417,-0.883,1.444
-0.688,1.31,-0.883,1.444
-0.503,1.607,-0.883,1.444
-0.059,-1.368,0.862,1.444
-0.04,-1.07,0.862,1.444
-0.267,-0.475,0.862,1.444
-0.302,-0.178,0.862,1.444
-0.419,0.417,0.862,1.444
-0.394,0.715,0.862,1.444
-0.549,1.31,0.862,1.444
-0.692,1.607,0.862,1.444
0.208,-1.07,-0.301,1.444
0.069,-0.773,-0.301,1.444
-0.24,-0.178,-0.301,1.444
-0.408,0.12,-0.301,1.444
-0.456,0.715,-0.301,1.444
-0.456,1.012,-0.301,1.444
-0.688,1.607,-0.301,1.444
0.332,-1.368,1.444,1.444
-0.101,-0.773,1.444,1.444
-0.302,-0.475,1.444,1.444
-0.549,0.12,1.444,1.444
-0.657,0.417,1.444,1.444
-0.41,1.012,1.444,1.444
-0.626,1.31,1.444,1.444
-0.565,-1.368,-1.465,-1.377
-0.827,-0.475,-1.465,-1.377
-0.923,0.417,-1.465,-1.377
-0.905,1.31,-1.465,-1.377
-0.331,-1.368,0.281,-1.377
-0.535,-0.475,0.281,-1.377
-0.7,0.417,0.281,-1.377
-0.951,1.31,0.281,-1.377
-0.686,-1.368,-0.883,-1.377
-0.797,-0.475,-0.883,-1.377
-0.765,0.417,-0.883,-1.377
-1.028,1.31,-0.883,-1.377
-0.581,-1.368,0.862,-1.377
-0.595,-0.475,0.862,-1.377
-0.642,0.417,0.862,-1.377
-0.688,1.31,0.862,-1.377
-0.472,-1.368,-0.301,-1.377
-0.657,-0.475,-0.301,-1.377
-0.503,0.417,-0.301,-1.377
-0.657,1.31,-0.301,-1.377
-0.719,-1.368,1.444,-1.377
-0.877,-0.475,1.444,-1.377
-0.728,0.417,1.444,-1.377
-0.735,1.607,1.444,-1.377
2.912,-1.07,-1.465,-0.672
1.83,-0.178,-1.465,-0.672
0.795,0.715,-1.465,-0.672
0.044,1.607,-1.465,-0.672
2.912,-1.07,0.281,-0.672
1.506,-0.178,0.281,-0.672
0.532,0.715,0.281,-0.672
0.1,1.607,0.281,-0.672
0.424,-1.07,-0.883,-0.672
0.254,-0.178,-0.883,-0.672
-0.302,0.715,-0.883,-0.672
2.912,-1.368,0.862,-0.672
1.444,-0.475,0.862,-0.672
1.011,0.417,0.862,-0.672
0.27,1.31,0.862,-0.672
2.912,-1.368,-0.301,-0.672
2.912,-0.475,-0.301,-0.672
2.155,0.417,-0.301,-0.672
0.826,1.31,-0.301,-0.672
2.881,-1.368,1.444,-0.672
1.784,-0.475,1.444,-0.672
1.15,0.417,1.444,-0.672
0.069,1.31,1.444,-0.672
-0.286,-1.368,-1.465,0.033
-0.441,-0.475,-1.465,0.033
-0.589,0.417,-1.465,0.033
-0.649,1.31,-1.465,0.033
0.316,-0.773,0.281,0.033
-0.286,0.12,0.281,0.033
-0.381,1.012,0.281,0.033
0.532,-1.665,-0.883,0.033
-0.178,-0.773,-0.883,0.033
-0.395,0.12,-0.883,0.033
-0.765,1.012,-0.883,0.033
0.254,-1.368,0.862,0.033
0.007,-0.475,0.862,0.033
-0.812,0.417,0.862,0.033
-0.657,1.31,0.862,0.033
0.61,-0.773,-0.301,0.033
-0.07,0.12,-0.301,0.033
-0.256,1.012,-0.301,0.033
1.645,-1.368,1.444,0.033
0.471,-0.475,1.444,0.033
-0.132,0.417,1.444,0.033
-0.611,1.31,1.444,0.033
0.208,-1.07,-1.465,0.739
-0.256,-0.178,-1.465,0.739
-0.626,0.715,-1.465,0.739
-0.364,1.607,-1.465,0.739
-0.037,-1.07,0.281,0.739
-0.364,0.12,0.281,0.739
-0.496,1.012,0.281,0.739
0.424,-1.368,-0.883,0.739
0.254,-0.475,-0.883,0.739
-0.302,0.417,-0.883,0.739
-0.534,1.31,-0.883,0.739
-0.812,-1.368,0.862,0.739
-0.965,-0.475,0.862,0.739
-1.041,0.417,0.862,0.739
-0.853,-1.665,-0.301,0.739
-1.059,-0.773,-0.301,0.739
-0.905,0.417,-0.301,0.739
-1.129,1.31,-0.301,0.739
0.162,-1.368,1.444,0.739
-0.086,-0.475,1.444,0.739
-0.426,0.417,1.444,0.739
-0.487,1.31,1.444,0.739
0.069,-1.368,-1.465,1.444
-0.688,-0.475,-1.465,1.444
-0.379,0.417,-1.465,1.444
-0.565,1.31,-1.465,1.444
0.563,-1.368,0.281,1.444
0.386,-0.475,0.281,1.444
-0.147,0.417,0.281,1.444
-0.315,1.31,0.281,1.444
-0.347,-0.475,-0.883,1.444
-0.565,1.012,-0.883,1.444
0.08,-1.665,0.862,1.444
-0.202,-0.773,0.862,1.444
-0.268,0.12,0.862,1.444
-0.566,1.012,0.862,1.444
0.455,-1.368,-0.301,1.444
-0.163,-0.475,-0.301,1.444
-0.426,0.417,-0.301,1.444
-0.549,1.31,-0.301,1.444
0.069,-1.07,1.444,1.444
-0.395,-0.178,1.444,1.444
-0.348,0.715,1.444,1.444
-0.595,1.607,1.444,1.444
