x,y,Distance
124.472,177.763,94.293
175.015,0.384,123.541
55.328,161.780,79.704
98.650,-4.814,95.214
64.278,62.588,37.581
84.988,79.648,11.497
116.014,136.982,53.709
24.522,182.133,113.017
56.582,163.649,80.865
117.717,184.448,98.433
177.744,4.462,122.554
155.094,80.964,65.737
99.031,135.095,45.990
75.441,157.946,69.481
183.543,76.472,94.535
136.599,43.665,65.730
24.243,82.645,66.149
78.425,15.254,75.637
120.069,5.000,90.172
75.736,122.611,35.583
135.000,40.021,67.267
40.750,115.057,55.239
15.425,97.983,74.982
64.650,21.838,72.721
82.048,24.561,65.922
179.663,15.011,116.904
124.999,39.883,61.141
181.056,75.113,92.283
44.896,61.013,53.602
144.464,-2.251,107.142
135.018,119.577,53.878
3.211,116.168,90.629
136.408,183.478,104.369
82.290,55.555,35.297
118.613,35.196,61.836
184.993,59.738,99.716
75.062,40.786,51.430
43.133,83.897,47.245
84.945,40.741,49.520
184.997,20.167,117.920
145.000,20.070,88.981
97.017,115.987,26.919
75.955,137.061,49.103
142.908,164.067,91.031
163.098,83.925,73.369
35.037,160.610,89.465
140.467,15.022,90.394
144.511,37.844,75.460
-1.294,135.170,101.839
35.385,38.077,75.347
95.766,37.340,52.980
137.670,55.576,58.817
44.999,100.077,46.096
175.264,38.397,99.681
-4.249,137.364,105.462
104.668,41.791,50.400
97.837,175.492,85.848
176.193,103.241,87.222
76.600,3.666,87.368
63.569,56.498,42.665
161.537,155.242,96.830
162.252,15.536,103.771
0.691,115.048,92.736
24.235,22.658,94.117
157.566,4.368,109.093
81.613,75.267,16.947
22.314,164.433,100.591
184.942,179.242,130.311
15.034,0.581,116.678
44.921,180.885,101.439
16.526,143.596,90.928
158.919,84.882,69.127
99.817,4.997,85.574
64.922,180.881,94.269
140.005,35.000,74.349
15.836,2.767,114.489
162.375,124.400,80.149
98.973,55.107,36.037
139.452,-4.970,107.086
64.901,39.010,56.827
142.944,104.041,54.791
184.932,60.820,99.335
63.548,96.477,27.215
-4.461,102.257,95.235
101.165,155.138,66.087
64.812,121.358,40.206
139.754,164.994,90.005
4.168,62.762,90.034
-4.252,82.630,94.522
95.552,42.283,48.044
43.934,76.914,47.872
164.974,120.511,80.960
155.591,37.641,83.943
164.929,119.160,80.419
24.934,59.189,71.978
115.469,97.886,26.678
160.173,24.997,95.670
43.836,103.207,47.997
104.843,18.755,72.782
4.528,22.120,109.135
138.741,15.161,89.325
-3.734,-3.325,132.261
138.119,124.633,59.299
122.880,164.087,81.060
155.261,118.405,71.190
176.757,96.194,86.996
75.218,1.462,89.764
15.236,161.516,103.446
96.759,176.193,86.455
179.109,55.080,95.725
75.392,98.059,16.665
162.708,155.797,98.071
160.757,84.942,70.956
-3.726,36.666,107.824
123.657,76.591,36.249
24.888,58.947,72.123
44.878,101.100,46.449
96.946,156.041,66.403
178.354,55.279,94.950
18.275,-4.693,118.783
55.691,182.537,98.682
64.459,77.738,28.317
115.116,1.070,92.417
17.730,164.455,103.746
117.509,95.665,28.103
176.031,96.959,86.330
95.224,1.478,88.680
60.216,24.995,71.499
118.570,75.209,32.190
84.955,80.672,10.600
155.346,21.827,94.449
120.376,24.986,71.771
24.004,77.005,67.246
161.468,175.220,111.230
64.192,77.274,28.761
144.283,-2.580,107.333
81.789,124.669,35.620
37.504,184.332,107.943
184.943,139.248,106.971
18.360,35.277,90.137
61.301,84.828,29.144
4.977,60.478,89.986
115.060,179.225,92.679
102.743,135.819,47.560
35.013,160.363,89.286
155.030,19.457,95.959
163.854,43.185,87.459
76.859,103.890,19.106
20.601,75.036,70.977
142.009,155.422,83.585
59.616,115.015,39.340
183.055,143.958,107.581
142.178,155.499,83.750
0.679,64.954,92.749
95.003,100.166,11.335
177.422,164.284,114.732
18.137,4.640,111.574
16.024,63.032,78.722
16.588,176.345,113.320
41.232,24.846,81.376
181.783,104.671,92.966
155.517,117.786,71.181
42.713,84.200,47.624
142.926,84.054,53.278
4.634,118.122,89.860
161.548,55.246,79.560
104.587,161.990,73.453
24.915,39.081,82.624
141.890,124.629,62.397
104.940,100.771,18.431
95.009,180.306,90.442
15.001,-0.072,117.200
183.780,16.728,119.028
124.340,117.517,44.017
121.204,115.147,40.088
43.393,156.328,81.051
15.552,37.715,90.960
164.831,18.710,103.369
3.614,143.455,101.569
38.263,155.312,83.307
139.379,55.039,60.520
123.394,16.329,80.898
16.516,16.414,103.984
135.033,80.576,46.027
103.699,123.364,36.070
121.157,15.136,81.100
39.849,124.998,61.138
117.474,135.685,53.316
36.394,-3.464,107.740
22.412,175.620,109.068
75.745,42.626,49.471
16.262,83.321,74.022
104.520,82.137,16.530
38.235,44.678,68.791
62.154,35.488,61.208
98.196,175.337,85.727
55.222,138.527,59.689
44.770,18.500,84.598
179.724,115.008,93.161
183.877,43.157,104.933
183.944,43.073,105.031
120.119,55.001,46.189
64.714,101.666,27.829
177.373,4.254,122.435
183.183,76.144,94.226
64.534,157.891,72.500
35.022,160.470,89.364
96.691,63.749,27.099
123.403,76.336,36.108
184.995,39.778,107.472
2.574,64.286,91.112
83.055,156.042,66.400
175.091,159.048,109.594
57.736,55.542,47.195
19.192,35.066,89.607
115.003,160.174,74.498
75.103,58.988,34.400
137.377,35.743,72.046
120.274,184.992,99.702
115.754,22.641,72.125
142.281,184.449,107.959
102.760,-4.170,95.036
158.075,84.614,68.306
123.888,123.144,47.412
64.834,78.722,27.562
184.023,137.031,105.144
124.999,179.896,96.471
143.651,3.416,101.872
22.381,64.397,72.288
163.327,83.732,73.613
158.244,115.318,72.805
21.129,55.129,77.181
104.237,57.346,35.634
124.941,159.234,77.557
155.100,140.996,82.708
161.182,175.142,110.986
162.854,15.895,103.935
20.178,135.003,83.051
-2.136,124.521,98.372
158.560,24.788,94.636
76.331,116.603,29.898
55.211,81.438,35.810
141.896,44.627,68.950
38.668,95.181,51.574
83.284,163.770,74.069
43.932,136.911,65.733
157.050,124.037,75.209
4.476,142.227,100.192
138.057,35.393,72.757
124.997,99.820,36.365
182.984,184.012,132.238
75.084,180.910,92.119
124.881,78.915,36.618
4.419,137.661,97.940
155.560,37.701,83.881
100.184,84.997,11.365
84.675,1.774,88.390
143.689,143.375,75.716
176.041,143.054,101.097
164.373,42.424,88.306
36.605,3.670,101.502
95.087,139.071,49.332
-4.095,157.131,115.571
64.284,157.421,72.149
42.987,95.990,47.375
138.902,135.122,66.550
84.141,82.801,9.273
123.487,36.416,63.200
-3.972,43.037,105.039
161.371,35.192,90.004
24.182,17.260,98.088
2.511,15.676,114.786
35.980,37.026,75.649
75.789,37.304,54.578
85.000,79.982,11.192
24.441,82.298,65.993
76.551,63.620,29.606
84.601,78.042,13.116
175.691,37.464,100.531
175.361,1.867,122.711
144.878,21.096,88.102
115.046,-0.676,94.080
122.877,135.910,56.476
84.599,41.963,48.342
-0.638,124.959,97.128
145.000,80.052,55.911
155.420,-2.005,112.906
99.896,124.999,36.372
184.328,2.504,128.676
41.128,135.129,66.505
97.289,15.799,74.564
142.871,144.094,75.650
-2.873,4.092,126.502
24.606,18.054,97.216
162.293,4.443,112.024
121.913,104.620,35.117
124.961,179.379,95.976
144.402,82.371,54.953
83.044,76.034,15.598
44.756,21.542,82.051
-1.639,-4.724,131.786
103.039,63.970,29.125
175.719,97.416,86.057
42.805,64.139,53.802
22.584,115.720,72.137
123.863,96.825,34.561
84.192,157.275,67.519
104.969,80.556,17.717
37.276,135.807,69.827
144.626,21.898,87.317
62.074,84.549,28.436
118.518,55.225,44.988
39.191,64.934,56.641
155.486,37.849,83.731
99.522,44.977,46.026
75.111,101.047,18.523
164.576,17.985,103.687
175.295,121.692,91.008
78.279,-4.695,95.419
15.000,19.992,102.586
116.135,83.172,27.031
41.856,15.357,88.815
175.024,159.513,109.835
177.640,144.408,103.168
117.180,144.129,60.574
104.970,60.548,33.049
122.816,75.868,35.747
184.974,39.495,107.586
117.300,15.792,79.080
139.718,55.008,60.815
142.731,75.812,54.625
79.607,35.015,55.958
125.000,39.988,61.056
55.531,17.758,80.040
84.432,177.686,87.858
-4.910,20.943,117.362
98.605,175.199,85.630
135.765,37.342,69.781
95.027,120.521,30.931
55.737,137.388,58.463
3.785,-3.267,127.001
39.527,24.978,82.305
124.499,97.818,35.390
64.530,137.884,54.225
-3.759,-3.297,132.259
124.716,-1.661,98.025
104.824,178.684,89.914
155.798,182.710,113.693
115.743,122.622,41.564
61.205,104.853,32.382
177.563,104.366,88.751
180.608,135.037,101.198
21.963,75.402,69.568
124.058,157.079,75.235
102.569,15.711,75.352
96.755,43.804,46.694
61.581,35.256,61.676
164.984,159.605,102.321
116.587,3.654,90.356
15.227,161.488,103.433
35.066,40.811,73.727
164.976,79.510,75.725
-4.369,137.569,105.662
55.008,20.274,78.009
39.484,-4.973,107.567
44.407,82.362,46.211
44.865,38.848,68.208
155.043,180.654,111.581
101.609,75.266,18.772
84.995,0.214,89.928
164.310,177.465,114.779
137.926,64.550,54.282
99.857,144.998,55.874
96.835,36.130,54.308
142.713,124.200,62.849
95.001,40.101,50.155
116.296,63.358,37.449
-2.768,175.836,126.371
77.140,35.898,55.608
75.007,59.742,33.765
101.568,124.748,36.625
118.893,175.124,89.896
22.766,115.835,72.008
104.772,-1.492,92.683
181.906,15.378,118.403
155.498,77.825,66.639
184.511,37.843,107.965
77.096,95.930,14.183
183.104,103.920,94.156
57.458,95.694,33.017
-1.942,55.393,98.224
-2.419,164.376,118.613
175.004,40.189,98.541
119.769,155.005,71.502
144.974,-0.514,105.913
115.996,77.005,29.081
99.376,35.039,55.762
103.713,3.348,87.737
21.108,4.876,109.501
183.554,3.517,127.419
140.407,124.983,61.370
41.820,24.657,81.177
138.186,64.659,54.461
44.635,181.874,102.452
135.445,122.063,55.630
138.302,124.703,59.488
155.550,137.720,81.093
19.117,184.921,118.453
-4.797,181.409,131.674
39.296,115.050,56.536
98.213,115.330,26.630
38.967,64.892,56.860
142.742,175.819,100.736
35.360,101.862,55.894
79.232,124.941,36.553
55.094,80.966,36.039
104.698,1.710,89.511
63.598,163.472,78.062
84.482,2.217,87.959
100.730,144.946,55.984
64.983,60.416,38.735
81.240,95.156,10.147
163.984,156.978,99.809
144.663,161.803,90.251
40.412,115.017,55.523
1.687,95.293,88.453
83.744,156.686,66.973
44.976,160.493,83.632
76.270,56.670,36.044
98.175,135.345,46.076
-3.888,143.143,107.867
123.615,96.545,34.263
136.150,3.190,98.327
85.000,80.014,11.163
21.049,155.111,94.819
141.669,44.713,68.723
15.999,117.001,78.755
116.774,76.180,30.148
140.906,-4.917,107.718
178.755,44.843,99.601
123.671,63.395,42.930
115.015,80.391,26.816
80.943,-4.910,95.344
21.746,175.315,109.243
178.298,95.298,88.475
119.973,65.000,39.047
23.011,96.008,67.239
77.366,-4.250,95.095
158.186,135.341,81.898
64.796,-1.415,94.825
-2.917,44.061,103.638
157.445,55.702,75.683
64.760,38.469,57.376
56.479,76.450,36.140
141.731,115.309,57.605
24.620,-1.912,112.786
84.680,61.761,28.736
156.687,143.745,85.661
176.342,43.409,98.129
101.402,144.799,55.973
135.298,-1.701,102.290
144.024,17.032,90.804
-0.131,84.998,90.251
80.528,175.028,85.548
115.738,117.386,37.592
35.866,102.812,55.611
104.192,177.274,88.420
22.816,35.869,86.266
104.993,40.263,51.957
41.073,164.884,89.437
155.010,120.312,71.744
97.459,164.306,74.678
35.659,162.482,90.576
64.301,117.451,37.587
78.031,-4.596,95.352
20.123,104.999,71.450
95.051,160.715,70.893
124.583,-1.998,98.294
38.764,115.155,57.060
78.191,55.339,36.615
56.385,136.546,57.401
-1.270,155.164,112.129
75.794,177.296,88.437
178.079,35.384,103.656
4.924,79.131,85.750
83.810,123.238,33.802
176.253,16.689,113.216
19.649,84.988,70.511
43.414,136.347,65.698
101.800,175.335,86.146
24.005,97.007,66.347
184.314,82.528,94.628
35.004,140.207,74.450
84.892,98.965,10.306
161.643,184.722,118.773
60.749,24.944,71.326
63.872,63.164,37.445
135.985,102.979,47.798
44.581,122.005,55.546
37.741,4.461,100.233
143.866,63.171,60.195
160.569,24.968,95.980
155.294,98.310,65.839
55.070,20.834,77.481
22.966,44.025,81.272
36.278,103.339,55.335
95.137,118.837,29.291
155.003,0.171,110.895
22.454,35.644,86.689
55.008,140.290,61.252
116.871,23.900,71.363
78.082,-4.618,95.367
43.759,136.703,65.707
4.484,2.212,122.545
158.574,155.208,94.639
135.042,179.351,100.067
35.002,60.125,62.574
15.002,20.138,102.485
164.992,20.291,102.403
4.454,117.727,89.909
104.435,2.308,88.879
116.149,56.811,42.267
24.934,139.192,81.552
59.571,15.018,80.917
144.541,177.908,103.460
21.519,135.236,82.056
75.509,62.198,31.347
35.031,119.446,62.341
75.049,179.302,90.538
96.996,83.997,9.235
35.982,22.976,86.074
159.395,35.037,88.541
39.480,-4.973,107.569
183.746,116.689,97.488
99.878,135.001,46.073
175.562,-2.303,125.875
63.987,43.017,53.698
183.957,76.943,94.878
157.983,175.425,109.183
176.358,3.426,122.297
136.488,63.559,53.499
62.847,164.110,78.918
63.438,76.369,29.841
-4.023,57.031,99.620
176.662,63.723,90.577
164.464,157.748,100.682
97.582,64.377,26.731
137.649,184.413,105.760
35.914,157.118,86.184
161.302,-4.827,118.658
60.009,125.000,46.077
122.731,115.812,41.697
57.842,184.510,99.822
135.742,17.379,85.839
4.970,40.546,98.352
164.622,61.908,79.753
139.042,64.907,55.107
143.580,123.491,63.199
55.077,80.874,36.079
3.904,96.876,86.351
96.459,176.470,86.709
15.381,178.086,115.428
55.043,60.655,45.629
183.672,176.607,127.585
55.028,59.469,46.413
15.024,20.488,102.231
22.570,64.289,72.150
77.611,95.608,13.581
-2.879,135.912,103.589
63.507,63.564,37.416
-1.194,15.145,117.970
22.233,175.526,109.105
179.091,24.917,110.349
35.982,42.976,71.607
144.783,81.458,55.463
118.259,24.687,71.175
35.216,81.455,55.429
121.343,44.816,55.004
117.636,104.406,31.180
-4.831,161.290,118.622
177.951,44.561,99.013
118.385,184.732,98.895
122.040,164.565,81.161
35.005,59.769,62.742
138.766,4.845,98.142
56.697,76.246,36.016
156.382,76.549,67.750
77.308,84.214,13.934
143.632,96.563,54.049
-3.535,36.464,107.758
175.171,161.297,111.085
37.623,44.399,69.435
59.073,124.913,46.626
83.904,16.876,73.380
179.753,-4.994,130.704
43.690,23.374,81.132
157.897,44.536,81.730
21.284,55.168,77.025
57.044,55.967,47.364
15.480,117.863,79.540
95.341,18.184,72.019
175.987,17.018,112.800
155.214,178.553,109.983
175.111,181.046,124.642
180.806,55.065,97.313
140.657,175.043,98.994
64.283,42.579,53.940
100.330,35.011,55.958
97.911,175.457,85.821
37.130,155.906,84.477
64.940,120.774,39.673
76.711,43.766,48.105
164.547,42.080,88.637
40.450,164.980,89.859
183.755,136.698,104.755
144.142,182.801,107.446
56.876,16.096,80.984
41.066,115.115,54.985
36.122,163.156,90.841
164.558,137.944,88.656
4.717,161.659,111.376
116.766,183.813,97.558
37.242,144.171,75.601
4.957,140.654,98.968
60.693,4.952,89.954
38.395,4.735,99.659
141.793,175.333,99.827
75.014,140.373,52.546
121.009,164.897,81.066
80.367,135.014,46.025
184.674,118.224,98.808
137.231,164.163,87.932
56.118,123.151,47.387
35.009,179.702,105.204
60.530,164.972,80.546
95.919,122.889,33.417
44.358,117.549,53.294
79.699,175.009,85.625
182.435,84.367,92.625
104.905,119.031,32.639
-4.683,78.247,95.391
61.187,175.143,89.877
79.029,55.095,36.587
44.967,120.571,54.412
35.047,99.314,55.718
117.228,95.838,27.864
117.734,115.543,37.715
115.006,79.755,27.042
184.227,162.671,119.007
143.929,136.908,71.486
135.847,17.216,86.033
144.965,19.413,89.477
55.050,59.295,46.511
64.015,42.980,53.717
62.799,44.143,53.311
17.808,55.506,79.995
64.196,22.719,72.057
95.617,177.594,87.771
175.920,102.890,86.899
84.974,100.506,11.635
39.655,-4.988,107.500
58.708,124.830,46.807
178.941,124.887,95.554
16.159,76.798,74.994
20.014,75.000,71.558
24.012,77.016,67.236
-4.404,142.368,107.938
135.128,161.124,84.239
164.960,139.365,89.768
22.392,4.391,109.078
176.802,63.844,90.676
102.054,124.559,36.603
95.001,160.076,70.251
43.951,23.064,81.239
159.791,95.004,69.989
115.748,2.630,91.094
16.412,83.482,73.858
44.185,162.736,85.949
36.202,76.748,55.389
40.672,115.045,55.304
4.789,181.437,124.971
120.048,135.000,54.117
3.456,43.614,98.177
55.011,179.674,96.248
135.867,62.813,53.336
55.905,77.132,36.427
155.114,1.062,110.240
140.155,124.998,61.171
24.901,59.011,72.083
98.113,144.630,55.228
155.012,39.649,82.247
43.735,16.675,86.694
95.769,37.336,52.985
178.182,-4.658,129.384
18.516,24.775,96.759
40.632,104.960,51.566
144.015,77.020,55.572
155.907,122.871,73.664
175.800,137.287,97.982
61.881,124.633,44.596
15.510,-2.201,118.523
55.267,98.387,35.712
40.009,55.000,61.012
155.407,181.977,112.870
95.066,100.808,11.941
116.585,123.652,42.895
61.038,144.891,62.051
58.418,84.743,32.000
20.968,184.905,117.342
122.625,95.744,33.144
121.376,144.807,63.158
17.790,64.485,76.569
61.435,84.790,29.019
104.788,158.561,70.138
44.563,77.956,46.989
-1.283,144.833,106.468
144.156,102.780,55.661
78.901,175.122,85.837
164.950,99.296,75.542
182.868,-4.096,132.222
79.507,124.976,36.507
140.821,75.068,52.988
122.430,184.370,99.789
119.929,44.999,54.058
104.902,80.983,17.436
156.490,83.560,66.819
62.743,115.819,37.529
163.497,136.426,86.945
139.444,124.969,60.573
77.328,175.774,86.699
4.889,158.953,109.520
142.735,155.815,84.345
19.971,185.000,118.007
44.016,57.021,56.575
84.969,39.446,50.806
117.907,-4.541,98.583
156.447,136.482,81.104
115.565,57.692,41.214
119.616,95.015,30.055
139.501,-4.975,107.113
4.963,80.608,85.536
63.815,16.767,77.771
164.769,141.501,90.803
115.009,179.705,93.127
175.581,-2.339,125.914
164.298,77.445,75.370
56.419,-3.489,99.335
15.055,59.261,80.988
164.990,39.680,90.326
-3.734,63.326,97.439
178.376,4.729,122.822
44.946,120.735,54.522
80.837,175.071,85.557
62.927,175.946,90.100
77.578,4.374,86.523
163.249,163.801,103.991
180.875,-4.923,131.426
104.623,178.095,89.299
176.655,103.716,87.752
55.714,42.574,58.514
144.736,1.604,103.984
23.672,176.607,109.073
44.480,102.220,47.113
18.326,-4.711,118.767
120.277,84.992,30.707
38.143,35.358,75.322
41.816,15.341,88.850
84.283,62.580,28.010
175.751,22.635,109.064
118.089,155.380,71.162
40.603,55.036,60.506
103.065,3.951,87.042
-1.765,164.678,118.295
36.827,3.864,101.220
78.044,135.398,46.938
123.135,163.895,80.988
84.984,79.596,11.545
64.597,121.967,40.818
141.907,15.378,90.913
55.100,160.996,79.099
115.192,1.371,92.148
83.151,103.882,15.468
84.898,181.006,91.144
16.481,56.448,80.798
64.693,81.725,26.609
104.893,1.028,90.216
115.000,60.053,39.025
76.476,23.547,67.815
2.034,15.433,115.307
4.997,60.186,90.064
175.684,22.524,109.080
104.693,161.726,73.215
164.743,21.583,101.344
63.640,96.572,27.148
-4.653,178.169,129.340
156.922,3.940,109.032
42.447,64.360,54.011
184.825,38.688,107.836
158.280,24.695,94.498
137.378,144.258,72.041
22.236,95.528,67.970
178.679,124.822,95.287
118.429,24.747,71.188
-4.854,58.799,99.837
77.414,155.721,66.908
24.781,181.463,112.320
135.714,162.575,85.779
164.284,162.578,103.865
183.087,116.067,96.685
42.677,124.223,58.384
21.376,95.193,68.802
83.283,-3.771,94.014
24.971,160.539,95.925
82.882,144.086,54.546
116.218,96.730,27.084
123.144,103.888,35.951
80.874,84.923,10.429
-4.725,178.365,129.526
163.189,116.149,77.736
24.966,20.580,95.114
75.381,98.085,16.688
15.014,19.633,102.822
137.544,124.355,58.671
144.495,182.190,107.098
81.128,75.129,17.310
135.536,82.252,46.209
159.683,44.990,82.973
181.539,124.757,97.932
141.786,144.670,75.313
-2.550,155.699,113.481
-3.650,-3.418,132.266
58.797,75.147,34.543
40.613,44.962,66.828
-3.288,163.767,118.913
144.516,102.146,55.870
124.868,118.860,45.274
15.423,157.987,100.900
119.305,44.952,53.755
184.518,82.142,94.862
98.882,115.127,26.653
182.772,124.161,98.878
160.906,-4.917,118.492
124.148,137.208,58.271
104.073,122.900,35.787
175.021,-0.459,124.158
-3.491,23.579,114.671
155.441,182.053,112.951
2.780,124.156,93.651
37.453,55.697,62.739
102.188,155.504,66.628
157.991,84.579,68.225
4.007,42.991,97.989
103.077,136.059,47.881
55.259,138.412,59.574
42.168,135.495,65.997
-2.802,55.859,98.867
98.731,164.836,75.342
-2.431,175.631,125.984
164.569,57.969,81.176
2.932,95.950,87.253
80.866,124.924,36.091
115.001,80.084,26.914
61.230,155.154,71.212
96.223,136.724,47.135
80.780,55.061,36.134
76.314,16.622,74.644
96.901,-3.924,94.182
82.774,64.160,26.830
117.587,135.621,53.319
76.332,96.602,15.161
18.520,135.224,84.567
58.618,84.805,31.792
78.842,75.136,18.578
23.721,-3.340,114.470
84.999,100.093,11.252
164.514,117.849,79.564
55.099,39.008,61.785
104.986,0.370,90.881
0.681,24.953,110.482
137.329,184.227,105.450
76.359,16.573,74.683
